ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
3	sorgo_pd	el	20_30	b2	1.74	1.8	96.79	267	102	631	0.05	0.3	0.35	2.7	1.3	0.51	4.17	0.02	1	14	5	0.4	5.5	9	20	4.51	7.72	0.33	3.27	0.57
3	sorgo_pd	el	20_30	b3	1.8	1.8	100.1	267	102	631	0.11	0.22	0.33	2.7	1.51	0.48	3.9	0.02	2	14	4.7	0.5	4	7.5	24	5.09	8.7	0.39	3.94	0.69
3	sorgo_pd	el	30_70	b1	1.75	1.76	99.69	322	107	571	0.06	0.29	0.35	2.69	1.12	0.5	6.71	0.02	4	12	4.1	0.9	7	6	20	5.36	31.72	0.46	4.64	3.16
3	sorgo_pd	el	30_70	b2	1.74	1.76	98.88	322	107	571	0.05	0.3	0.35	2.69	0.98	0.68	7.55	0.02	3	11.5	5.1	0.9	7.5	7	18	5.1	30.17	0.25	2.53	1.72
3	sorgo_pd	el	30_70	b3	1.76	1.76	100.18	322	107	571	0.06	0.29	0.35	2.69	1.26	0.65	6.54	0.02	2	11	4.8	0.7	8	5	22	5.36	31.75	0.36	3.59	2.44
3	sorgo_pd	l	0_20	b1	1.66	1.83	90.79	224.4	102.8	673	0.11	0.27	0.38	2.69	0.8	1.05	17.07	0.03	7.3	15.8	4.1	2.14	6.9	5	31.5	5.78	12.6	0.03	0.25	0.34
3	sorgo_pd	l	0_20	b2	1.56	1.83	85.49	224.4	102.8	673	0.15	0.27	0.42	2.69	0.66	1.03	14.99	0.03	6.6	18.4	4.52	2.04	7.9	5.3	25.4	6.18	13.32	0.04	0.38	0.32
3	sorgo_pd	l	0_20	b3	1.56	1.83	85.36	224.4	102.8	673	0.16	0.26	0.42	2.69	0.76	1.02	15.64	0.03	6.3	16.6	4.94	1.97	7.4	5.8	26.7	4.73	11.58	0.01	0.11	0.09
3	sorgo_pd	l	20_30	b1	1.62	1.79	90.08	267	102	631	0.14	0.26	0.4	2.7	0.85	0.65	6.5	0.03	2.5	14	4.1	1.8	8.5	3	34	5.87	9.92	0.04	0.45	0.82
3	sorgo_pd	l	20_30	b2	1.48	1.8	82.03	267	102	631	0.19	0.27	0.45	2.7	0.62	0.64	6.18	0.02	3	15	4.7	2.3	9	5	18	4.78	8.08	0.00	0.00	0.00
3	sorgo_pd	l	20_30	b3	1.44	1.81	79.92	267	102	631	0.2	0.26	0.47	2.7	0.83	0.68	6.1	0.02	2	14.5	5.2	2.05	8	5	26	3.63	6.14	0.00	0.00	0.00
3	sorgo_pd	l	30_70	b1	1.56	1.76	88.92	322	107	571	0.1	0.32	0.42	2.69	1.19	0.73	9.3	0.02	4	11	4.3	1.1	8	11	25	5.26	35.54	0.04	0.37	2.72
3	sorgo_pd	l	30_70	b2	1.69	1.75	96.12	322	107	571	0.04	0.33	0.37	2.69	0.87	0.82	9.88	0.02	4	17	4.4	1.2	12	10	28	5.71	38.59	0.00	0.00	0.00
3	sorgo_pd	l	30_70	b3	1.72	1.75	98.2	322	107	571	0.04	0.32	0.36	2.69	1.2	0.64	7.27	0.02	4	14	5.2	1.15	10	12	20	5.48	37.06	0.00	0.00	0.00
3	sorgo_pp	el	0_20	b1	1.8	1.83	98.4	224.4	102.8	673	0.08	0.25	0.33	2.69	1.93	0.64	6.54	0.03	2.6	14	4.56	1.11	9.2	4.7	23.2	5.18	10	0.57	5.75	0.66
