ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
4	amendoim_pp	l	20_30	b2	1.69	1.81	93.53	267	102	631	0.05	0.32	0.37	2.7	0.86	0.28	2.61	0.02	2	9	5.2	2.87	9	4	15	3.96	6.17	0.46	4.64	0.75
4	amendoim_pp	l	20_30	b3	1.63	1.8	90.79	267	102	631	0.05	0.35	0.4	2.7	0.95	0.43	4.6	0.02	5	10.5	4.7	2.38	5.5	4	20	5.08	7.92	0.50	5.04	0.81
4	amendoim_pp	l	30_70	b1	1.56	1.76	88.88	322	107	571	0.11	0.31	0.42	2.69	1.16	0.4	2.1	0.02	2	9	4.4	1.8	4	5	25	4.73	31.95	2.58	25.83	16.63
4	amendoim_pp	l	30_70	b2	1.66	1.76	94.48	322	107	571	0.1	0.29	0.38	2.69	1.07	0.3	1.25	0.02	2.5	9.5	4.65	1.25	6.5	6	21.5	5.07	34.27	0.41	4.09	2.63
4	amendoim_pp	l	30_70	b3	1.76	1.76	100.16	322	107	571	0.06	0.29	0.35	2.69	1.25	0.35	1.45	0.02	3	10	4.9	1.52	9	7	18	5.42	36.64	0.37	3.68	2.37
4	crotalária_cm	el	0_20	b1	1.81	1.83	99.24	224.4	102.8	673	0.07	0.27	0.34	2.69	0.93	0.46	1.64	0.03	2.4	12.2	4.54	1.12	8.85	6.4	21.6	5.87	12.84	0.03	0.34	0.37
4	crotalária_cm	el	0_20	b2	1.69	1.82	92.52	224.4	102.8	673	0.09	0.28	0.37	2.69	1.01	0.43	1.63	0.04	4.4	13.6	4.67	1.52	9.6	6.8	20.9	6.39	14.04	0.06	0.57	0.61
4	crotalária_cm	el	0_20	b3	1.71	1.83	93.83	224.4	102.8	673	0.08	0.29	0.36	2.69	1	0.4	2	0.03	3.6	14.6	5.08	1.75	11	7.8	19.8	6.18	14.04	0.07	0.66	0.72
4	crotalária_cm	el	20_30	b1	1.9	1.79	105.95	267	102	631	0.07	0.27	0.34	2.7	0.69	0.33	0.9	0.03	3	12	4.3	1.3	11	6.5	25	5.98	10.29	0.04	0.41	0.70
4	crotalária_cm	el	20_30	b2	1.69	1.79	94.06	267	102	631	0.11	0.27	0.38	2.7	0.86	0.3	0.77	0.03	4	14	4.5	1.25	11	6	25	5.97	10.27	0.02	0.23	0.40
